UCHL5	4.8106279373
NCBP2	4.8040685654
NPY6R	4.7931189537
FLJ13154	4.7827534676
GPR135	4.7820210457
C21orf6	4.7535653114
C20orf30	4.7470083237
NUP43	4.7468061447
SPG7	4.7453279495
COL4A3	4.7432780266
UTP14A	4.7138338089
HCCS	4.7136659622
CHIC2	4.709271431
MXRA5	4.7085356712
ETFA	4.7066140175
LOC339448	4.7053084373
GALNT2	4.7016329765
DDX26	4.6996574402
SF3A1	4.66929245
RALY	4.6642370224
TANK	4.6617178917
UTRN	4.6588993073
GORASP1	4.636973381
E2F8	4.6361875534
RB1CC1	4.6335873604
SCAMP2	4.6242747307
KIAA0961	4.624130249
DDX6	4.6238055229
ITGB3BP	4.5999450684
MS4A12	4.5760416985
RAD23B	4.5603456497
FCN1	4.5551161766
MFNG	4.5455975533
ATP6V0A1	4.5072574615
CDC2L1	4.5049242973
UBE2G1	4.4736294746
NIPA2	4.4689788818
ACD	4.4457931519
KIF5B	4.4323997498
GNPDA1	4.4294037819
MGC2731	4.4187569618
CBR4	4.4166741371
ARRB2	4.3876314163
ZFPL1	4.3872585297
TMEM5	4.3650050163
GLG1	4.3563723564
ATP1A1	4.3515067101
HMBS	4.3494095802
GPR157	4.3398656845
AFTIPHILIN	4.3282546997
SNRPD3	4.3272852898
PSMD10	4.3200702667
PIGK	4.3139972687
C9orf10	4.3055329323
ZCCHC14	4.3021907806
CEBPA	4.288772583
ACAA1	4.2872900963
POLD3	4.2626271248
ZYG11BL	4.2586336136
TRIM23	4.2548923492
KIAA0404	4.2466807365
LGALS8	4.2308917046
DUSP1	4.2282266617
FLJ20558	4.2200446129
TCEA1	4.211874485
SEC24B	4.2010788918
BNIP3L	4.1896319389
KIF2	4.1881327629
SYNGR1	4.1829981804
RPS6KA3	4.1739325523
DLG5	4.1699018478
HOMER3	4.1675839424
WDR71	4.1600203514
MGC2574	4.1472196579
MAP2K4	4.1409511566
APITD1	4.1360225677
SIL	4.132604599
SLC25A28	4.1287145615
C1orf105	4.112487793
IGSF2	4.0923604965
DNMT3B	4.0889391899
ANAPC13	4.0710501671
PCNP	4.0676498413
SLC26A6	4.0620875359
PRKCABP	4.0552911758
TRIM26	4.0480923653
ELOVL1	4.0359597206
PIP5K2C	4.0319890976
HOXB7	4.0127043724
PLK4	4.0084080696
CCDC22	4.0010900497
PRKCBP1	3.9872751236
BEXL1	3.9790687561
DDIT3	3.977930069
ZNF592	3.9692933559
TNFRSF6B	3.9458858967
C1orf24	3.9445257187
ARID4A	3.9382936954
MANBA	3.9290254116
SPTBN1	3.9229719639
GOT2	3.9180510044
CCNL1	3.8977894783
ZFP95	3.87981534
LOC401255	3.8739271164
C2	3.8593332767
MARCKS	3.8531677723
FLJ21439	3.8335566521
STRA13	3.8249874115
NDUFA2	3.811781168
CBX4	3.8073260784
RBKS	3.7970476151
GP1BA	3.7712345123
PIGL	3.7679309845
DPYSL4	3.7446689606
DDX24	3.7414615154
ASH2L	3.727804184
DAZAP1	3.7230365276
C14orf2	3.722815752
VCP	3.7029829025
TM6SF1	3.6884553432
PITPNC1	3.6848170757
CUTL1	3.6782467365
CDC42SE1	3.6647014618
PRDM14	3.6618468761
GPR176	3.6605653763
RANBP10	3.651371479
ZBED4	3.6356110573
TNPO3	3.625041008
SOS2	3.5964741707
ELOVL5	3.582914114
WBSCR23	3.578969717
EDG6	3.578328371
NPAL3	3.5664961338
MPHOSPH10	3.5626103878
GNAQ	3.5600192547
FRZB	3.5475022793
RAB7L1	3.5382659435
OGT	3.5377421379
C9orf95	3.530497551
BID	3.5247337818
DCXR	3.517346859
ST3GAL2	3.5103061199
COL5A2	3.5018548965
IGSF4B	3.5003180504
CECR1	3.496130228
BCAS4	3.4769659042
PRDM8	3.4764595032
EIF5	3.4693005085
LGMN	3.4637134075
UAP1L1	3.429599762
LOC63920	3.4247910976
RIMS1	3.4141330719
RAB4A	3.361325264
PAICS	3.3576011658
SYT12	3.3539190292
SEP15	3.353344202
SNX19	3.3332686424
FLJ13491	3.3244874477
HLA-DMA	3.3150737286
MLLT3	3.3092088699
ECGF1	3.3017120361
TUBAL3	3.2838668823
ZHX3	3.2829785347
SEMA4F	3.2791135311
DHX32	3.2739646435
KLRG1	3.2648849487
MDSRP	3.2596378326
MYBL2	3.2548975945
WBSCR22	3.2518587112
LOXL1	3.2367041111
OLR1	3.214038372
CXorf36	3.2078413963
DRF1	3.1872706413
PHF8	3.1787931919
RAB11FIP2	3.1770176888
SMYD5	3.1742348671
CSPG6	3.1618680954
SNRPB2	3.1616051197
AKT3	3.1592373848
INPP5F	3.1528213024
SP3	3.131727457
PRSS7	3.1247417927
FLJ20516	3.1111733913
HNRPA2B1	3.0930755138
SMAD3	3.090389967
GPR37L1	3.0808444023
FLJ12700	3.0774345398
TOR3A	3.0643298626
RIMS2	3.0558247566
ABC1	3.0320799351
OSBPL1A	3.0310630798
MYL4	3.0294632912
VAMP2	3.0285484791
RAD21	3.0278632641
AK2	3.024810791
NDUFA4	3.0118772984
PPP2R5B	3.0117731094
SLC19A2	2.9972157478
AGTR2	2.9915173054
NENF	2.9619655609
ORM2	2.9575321674
ANKS1	2.9556365013
LRRC40	2.9407474995
TSNAXIP1	2.9389619827
DNAJB9	2.9387764931
DMXL2	2.9377083778
GSPT1	2.9311118126
SFTPB	2.9250562191
YBX2	2.9248104095
WAS	2.9177091122
RGS6	2.9040458202
UBE2N	2.8967940807
COASY	2.8931305408
SP1	2.8890571594
MTCBP-1	2.8741924763
ZNF266	2.8730356693
GML	2.8624880314
RAPGEF6	2.857336998
OPTN	2.8353321552
PGAP1	2.8332972527
KPNA5	2.8231830597
TSNAX	2.8132915497
INPP5B	2.8114104271
CALM1	2.8072817326
CDC37L1	2.8063659668
ZMYND10	2.8046736717
GM2A	2.7899718285
LOC51035	2.7830379009
PNLIPRP2	2.7778887749
RTEL1	2.7740762234
CBX7	2.7638251781
CCNJ	2.7634215355
EMD	2.758074522
LLGL2	2.7430534363
INPP4B	2.7391498089
PLSCR3	2.706756115
LRP2	2.7039048672
SURF2	2.6954739094
ORC1L	2.6922235489
GPATC3	2.6888263226
SSX2	2.6882395744
TSC22D2	2.6727457047
HARS	2.6628630161
MED4	2.6619038582
PHKA2	2.6611094475
SEMA4G	2.6379444599
LRRC41	2.6319084167
NAB2	2.6312201023
CDK2AP2	2.6216332912
C9orf77	2.6193854809
GTPBP6	2.6189305782
NIPSNAP1	2.6085407734
PET112L	2.6068372726
MYOM2	2.6051983833
BSG	2.6013159752
RAB1B	2.6003680229
HCG9	2.5957493782
ZNF306	2.5900137424
INPP5A	2.5760405064
RDH16	2.5751726627
KLK3	2.5723216534
RNF11	2.5630092621
C17orf41	2.5618646145
CPSF6	2.550891161
PRSS16	2.5398037434
HAVCR1	2.5264515877
LY75	2.5104854107
KIF20A	2.5033595562
CAPN1	2.4862642288
COG7	2.4859783649
ABCA6	2.4835939407
REPS1	2.4801204205
GJA4	2.4721815586
SPTA1	2.4669249058
PUS3	2.4599149227
C1QBP	2.4571197033
TBX10	2.4564056396
MGC5457	2.4505784512
SOX11	2.4489586353
SERPINE2	2.4450883865
VEGFB	2.4341769218
RNF31	2.4323954582
C8orf51	2.4288518429
TRPC5	2.4249067307
CDA08	2.4188621044
MGC13098	2.4087953568
HOXB13	2.4039123058
RNF2	2.3933093548
MON1B	2.3924546242
SIRT6	2.3819270134
KCTD14	2.3777348995
SSPN	2.3697910309
CYLC1	2.3597416878
ATXN2	2.3559548855
KIAA0372	2.3528268337
USP29	2.3444342613
SLC11A1	2.337416172
CYLN2	2.3348031044
UTF1	2.3317735195
L2HGDH	2.3235650063
GSPT2	2.3217713833
HYAL3	2.3173730373
PLEKHB2	2.3099882603
RUSC1	2.2980906963
SLC22A4	2.2931227684
GAGE7	2.2824826241
ASB6	2.2770061493
GGA2	2.2758915424
KIAA2010	2.269797802
GRM3	2.2664711475
CD300A	2.2654588223
