#TOP	Genes more expressed in NGT class
#BOTTOM	      Genes more expressed in DM2/IGT class
207170_s_at	2.2615640163
205497_at	2.2583286762
203956_at	2.256663084
208165_s_at	2.2559337616
218682_s_at	2.2540047169
203241_at	2.2528944016
222339_x_at	2.2501409054
207534_at	2.2501239777
31807_at	2.2491703033
217608_at	2.248707056
205203_at	2.246147871
203040_s_at	2.2456240654
202404_s_at	2.2445011139
215171_s_at	2.2444753647
205129_at	2.2440624237
215648_at	2.2437598705
216722_at	2.2435815334
214998_at	2.2433109283
207861_at	2.2428073883
218746_at	2.2405831814
215265_at	2.2398169041
209946_at	2.2372970581
218974_at	2.2370429039
213662_at	2.2365877628
211846_s_at	2.2349467278
222066_at	2.2339935303
221776_s_at	2.2334527969
203498_at	2.2311770916
217914_at	2.2306632996
216909_at	2.2269170284
214872_at	2.2255938053
220510_at	2.2242097855
209478_at	2.2220807076
205959_at	2.2191252708
210223_s_at	2.2166311741
200666_s_at	2.2139680386
205009_at	2.2124714851
219329_s_at	2.2095389366
204435_at	2.2089221478
221650_s_at	2.2083699703
203733_at	2.2065064907
200038_s_at	2.2049052715
219506_at	2.2041268349
214204_at	2.2030711174
206857_s_at	2.2016615868
221235_s_at	2.2014677525
216817_s_at	2.2013976574
212251_at	2.1993954182
203162_s_at	2.1967175007
200937_s_at	2.193782568
65884_at	2.1935553551
220239_at	2.1934111118
221575_at	2.1904368401
207413_s_at	2.1899220943
201106_at	2.1892306805
202139_at	2.1883854866
220741_s_at	2.1871955395
204458_at	2.1852338314
217304_at	2.1850013733
212449_s_at	2.1822273731
217061_s_at	2.1810486317
214141_x_at	2.1808493137
208556_at	2.1798632145
219008_at	2.1795465946
219531_at	2.1794424057
206501_x_at	2.1787283421
215467_x_at	2.1780529022
218780_at	2.1774032116
206540_at	2.1758737564
220208_at	2.1738615036
218244_at	2.173181057
206545_at	2.173027277
203549_s_at	2.1712687016
203412_at	2.170142889
215971_at	2.1685903072
215412_x_at	2.1678931713
201456_s_at	2.1673612595
213984_at	2.1669845581
219598_s_at	2.165749073
200045_at	2.1642315388
216512_s_at	2.1615643501
202090_s_at	2.1605312824
206854_s_at	2.1580197811
217801_at	2.1564376354
220364_at	2.1563000679
219189_at	2.1539857388
217727_x_at	2.1522638798
207797_s_at	2.1510491371
203818_s_at	2.1506822109
215284_at	2.1502556801
206364_at	2.1490232944
208540_x_at	2.1475865841
204124_at	2.1460518837
209654_at	2.1448721886
222257_s_at	2.1447319984
200740_s_at	2.1414823532
213822_s_at	2.1395726204
204358_s_at	2.1390430927
222162_s_at	2.1389601231
219980_at	2.138740778
221731_x_at	2.1357343197
210548_at	2.1305613518
202812_at	2.1296932697
206663_at	2.1270928383
204386_s_at	2.1265354156
208478_s_at	2.1235382557
212937_s_at	2.1232953072
213039_at	2.1221337318
220917_s_at	2.1214506626
202185_at	2.1202197075
207402_at	2.1178424358
221969_at	2.116341114
220472_at	2.11586833
222357_at	2.1158325672
215237_at	2.1124258041
209323_at	2.1115860939
219639_x_at	2.1107831001
213032_at	2.1107423306
205929_at	2.1095194817
210679_x_at	2.1067099571
220462_at	2.1061227322
217867_x_at	2.1059412956
202005_at	2.102306366
203700_s_at	2.1021769047
200715_x_at	2.1011486053
220131_at	2.0996916294
210705_s_at	2.0985052586
210453_x_at	2.0938162804
216226_at	2.0930023193
219089_s_at	2.0921092033
218666_s_at	2.0918459892
213564_x_at	2.0914173126
220753_s_at	2.0901942253
217663_at	2.0899190903
201612_at	2.0893032551
201307_at	2.0866980553
207052_at	2.0855612755
209534_x_at	2.0855441093
213459_at	2.0827391148
207670_at	2.0820026398
217504_at	2.0816357136
205956_x_at	2.0797219276
202631_s_at	2.07934165
201422_at	2.0792987347
209029_at	2.0791642666
218237_s_at	2.0788247585
220632_s_at	2.0778548717
203747_at	2.0776987076
205055_at	2.0753078461
212837_at	2.075135231
212087_s_at	2.0746645927
202383_at	2.0735254288
217415_at	2.0723900795
214112_s_at	2.0709195137
207354_at	2.0698795319
218357_s_at	2.0697417259
218837_s_at	2.0687508583
204597_x_at	2.0668039322
213801_x_at	2.0666074753
204863_s_at	2.0663590431
202110_at	2.0656912327
212270_x_at	2.0655374527
214137_at	2.0651981831
217435_x_at	2.0643639565
202364_at	2.0642521381
218435_at	2.0633366108
219147_s_at	2.0630283356
212881_at	2.0628261566
207523_at	2.061529398
209797_at	2.0608365536
209771_x_at	2.0608055592
218214_at	2.059710741
213687_s_at	2.0594599247
211570_s_at	2.059440136
211260_at	2.0587983131
221971_x_at	2.0584585667
201568_at	2.0571677685
201230_s_at	2.0561783314
210023_s_at	2.0557484627
212828_at	2.0547316074
208389_s_at	2.0497317314
203457_at	2.049687624
210638_s_at	2.0485355854
218829_s_at	2.0483317375
209492_x_at	2.0478873253
221758_at	2.0475320816
207918_s_at	2.0472412109
221342_at	2.0470178127
221382_at	2.0468587875
204629_at	2.0452654362
218442_at	2.0452227592
213074_at	2.0448014736
209598_at	2.0422196388
208224_at	2.0418159962
203451_at	2.041592598
219530_at	2.0408380032
60474_at	2.0400538445
220097_s_at	2.0396456718
217895_at	2.0395417213
32209_at	2.0361013412
216456_at	2.0358223915
204159_at	2.032804966
210172_at	2.0312511921
202702_at	2.0311510563
211102_s_at	2.0299525261
218117_at	2.0297455788
219973_at	2.0287327766
201896_s_at	2.0262241364
210241_s_at	2.0261363983
209568_s_at	2.025718689
217358_at	2.0257108212
220124_at	2.0236401558
210306_at	2.0234100819
205302_at	2.023291111
205690_s_at	2.022557497
213844_at	2.0218884945
204004_at	2.0183217525
206420_at	2.0173840523
206993_at	2.0166656971
201757_at	2.0162770748
220467_at	2.0151855946
203008_x_at	2.014673233
218968_s_at	2.0144166946
205313_at	2.0123124123
204465_s_at	2.0115194321
203123_s_at	2.0100986958
200048_s_at	2.0096299648
208141_s_at	2.0050163269
220806_x_at	2.0034768581
216196_at	2.0034167767
211686_s_at	2.0032246113
207077_at	2.0030272007
210043_at	2.0024220943
219351_at	2.0022506714
204327_s_at	1.9983148575
205281_s_at	1.9980452061
217505_at	1.9971354008
60815_at	1.9970726967
208837_at	1.9960932732
204034_at	1.9960740805
216484_x_at	1.9959434271
211942_x_at	1.9952601194
218634_at	1.9952557087
219859_at	1.9944603443
210517_s_at	1.9930566549
222168_at	1.9920415878
204437_s_at	1.9916479588
205741_s_at	1.9914083481
202096_s_at	1.9913090467
211761_s_at	1.9906355143
40020_at	1.9890575409
209583_s_at	1.9884377718
209578_s_at	1.986715436
200631_s_at	1.9860752821
204486_at	1.9850231409
214725_at	1.9841595888
221452_s_at	1.9823766947
209392_at	1.9813888073
221433_at	1.9808272123
221984_s_at	1.9806414843
210726_at	1.9796993732
220721_at	1.9775863886
207902_at	1.9769417048
212436_at	1.9746032953
207706_at	1.97371912
200916_at	1.9733258486
208040_s_at	1.9732713699
218795_at	1.9730666876
210687_at	1.9716460705
202385_s_at	1.9706226587
210250_x_at	1.9701938629
208565_at	1.969280839
205599_at	1.9690649509
213871_s_at	1.9686847925
217450_at	1.968251586
203607_at	1.9679335356
222088_s_at	1.9672433138
216134_at	1.9664138556
207111_at	1.9661866426
204175_at	1.9653798342
204365_s_at	1.9650604725
204663_at	1.9644495249
200790_at	1.9642386436
201549_x_at	1.9642159939
205931_s_at	1.964089036
204729_s_at	1.9619814157
211495_x_at	1.9608154297
206697_s_at	1.9603354931
207715_at	1.9586327076
